,root,graph_order,graph_size,unique_edges,avg_degree,strongly_connected,weakly_connected,radius,diameter,center,density,root_degree,root_in_degree,root_out_degree,max_cooccurrence,root_freq
33,اله,221,490,440,2.2171945701357467,34,1,6,12,['ﻲﺗﺍ'],0.010078157136980667,16,8,8,6,8
34,اله,230,462,427,2.008695652173913,62,1,6,11,"['ﻪﻟﺍ', 'ﺎﻴﺷ', 'ﻞﻠﻛ', 'ﺮﻔﻛ', 'ﻞﻛﺍ']",0.0087715967343839,69,32,37,5,37
35,اله,211,356,336,1.6872037914691944,93,1,6,12,['ﻝﻮﻗ'],0.008034303768900925,10,5,5,3,5
36,اله,237,359,314,1.5147679324894514,180,13,,,,0.006418508188514625,37,17,20,5,20
37,اله,235,380,349,1.6170212765957446,126,4,,,,0.0069103473358792505,14,7,7,5,7
38,اله,246,696,593,2.8292682926829267,29,1,4,7,"['ﻝﺰﻧ', 'ﺐﺘﻛ', 'ﻪﻟﺍ', 'ﻖﻘﺣ', 'ﺪﺒﻋ', 'ﻥﻭﺩ', 'ﺪﺣﻭ', 'ﺐﺑﺭ', 'ﻚﻠﻣ', 'ﻢﻠﻋ', 'ﺏﻮﻧ', 'ﻝﻮﻗ', 'ﻢﺣﺭ', 'ﺮﻛﺫ', 'ﻝﻭﺍ', 'ﻲﻗﻭ', 'ﻦﺴﺣ', 'ﻞﺜﻣ', 'ﺪﻤﺣ', 'ﻲﻳﺍ']",0.011548033847685416,117,56,61,6,61
39,اله,257,704,604,2.7392996108949417,45,2,,,,0.010700389105058366,109,52,57,6,57
40,اله,203,444,409,2.187192118226601,39,1,5,9,"['ﻡﻮﻗ', 'ﻢﻠﻋ', 'ﻝﻮﻗ', 'ﻞﻤﻋ', 'ﻪﻟﺍ', 'ﺐﺑﺭ']",0.010827683753597035,26,13,13,4,13
41,اله,206,466,423,2.262135922330097,28,1,5,9,"['ﻲﺣﻭ', 'ﻪﻟﺍ', 'ﻆﻔﺣ', 'ﻢﻠﻇ', 'ﺪﻌﺑ', 'ﺐﺘﻛ', 'ﻦﻣﺍ', 'ﻖﻘﺣ', 'ﻖﻔﺷ', 'ﻱﺮﻓ', 'ﻞﺒﺳ', 'ﺩﺩﺭ']",0.011034809377219986,61,29,32,6,32
42,اله,225,424,401,1.8844444444444444,99,3,,,,0.008412698412698413,13,6,7,3,7
