,root,graph_order,graph_size,unique_edges,avg degree,strongly_connected,weakly_connected,radius,diameter,center,density
1023,زري,3,2,2,0.6666666666666666,3,1,1,2,['زري'],0.3333333333333333
1024,بلع,3,2,2,0.6666666666666666,3,1,1,2,['بلع'],0.3333333333333333
1025,قلع,3,2,2,0.6666666666666666,3,1,1,2,['قلع'],0.3333333333333333
1026,غيض,5,4,4,0.8,5,1,1,2,['غيض'],0.2
1027,نصي,6,6,5,1.0,6,1,1,2,['نصي'],0.2
1028,صيح,14,26,13,1.8571428571428572,14,1,1,2,['صيح'],0.14285714285714285
1029,حنذ,2,1,1,0.5,2,1,1,1,"['عجل', 'حنذ']",0.5
1030,وجس,4,4,3,1.0,4,1,1,2,['وجس'],0.3333333333333333
1031,شيخ,7,8,6,1.1428571428571428,7,1,1,2,['شيخ'],0.19047619047619047
1032,مجد,4,4,3,1.0,4,1,1,2,['مجد'],0.3333333333333333
1033,روع,3,2,2,0.6666666666666666,3,1,1,2,['روع'],0.3333333333333333
1034,نوب,17,23,17,1.3529411764705883,16,1,1,2,['نوب'],0.08455882352941177
1035,ذرع,8,10,8,1.25,7,1,1,2,['ذرع'],0.17857142857142858
1036,عصب,9,9,9,1.0,8,1,1,2,['عصب'],0.125
1037,هرع,4,3,3,0.75,4,1,1,2,['هرع'],0.25
1038,ضيف,12,11,11,0.9166666666666666,12,1,1,2,['ضيف'],0.08333333333333333
1039,ركن,8,7,7,0.875,8,1,1,2,['ركن'],0.125
1040,سري,8,12,7,1.5,8,1,1,2,['سري'],0.21428571428571427
1041,سجل,5,6,4,1.2,5,1,1,2,['سجل'],0.3
1042,نضد,4,3,3,0.75,4,1,1,2,['نضد'],0.25
1043,رهط,7,6,6,0.8571428571428571,7,1,1,2,['رهط'],0.14285714285714285
1044,ورد,14,15,15,1.0714285714285714,13,1,1,2,['ورد'],0.08241758241758242
1045,رفد,2,2,2,1.0,2,1,1,1,"['باس', 'رفد']",1.0
