,root,graph_order,graph_size,unique_edges,avg degree,strongly_connected,weakly_connected,radius,diameter,center,density
1225,غطو,5,4,4,0.8,5,1,1,2,['غطو'],0.2
1226,شعل,3,2,2,0.6666666666666666,3,1,1,2,['شعل'],0.3333333333333333
1227,شيب,6,5,5,0.8333333333333334,6,1,1,2,['شيب'],0.16666666666666666
1228,حنن,2,1,1,0.5,2,1,1,1,"['حنن', 'لدن']",0.5
1229,مخض,3,2,2,0.6666666666666666,3,1,1,2,['مخض'],0.3333333333333333
1230,جذع,5,6,4,1.2,5,1,1,2,['جذع'],0.3
1231,هزز,6,9,5,1.5,6,1,1,2,['هزز'],0.3
1232,جني,4,3,3,0.75,4,1,1,2,['جني'],0.25
1233,جثو,5,4,4,0.8,5,1,1,2,['جثو'],0.2
1234,حتم,3,2,2,0.6666666666666666,3,1,1,2,['حتم'],0.3333333333333333
1235,ضدد,2,1,1,0.5,2,1,1,1,"['كون', 'ضدد']",0.5
1236,ازز,2,2,2,1.0,2,1,1,1,"['كفر', 'ازز']",1.0
1237,وفد,2,1,1,0.5,2,1,1,1,"['رحم', 'وفد']",0.5
1238,ادد,2,1,1,0.5,2,1,1,1,"['شيا', 'ادد']",0.5
1239,هدد,2,1,1,0.5,2,1,1,1,"['جبل', 'هدد']",0.5
1240,ركز,2,1,1,0.5,2,1,1,1,"['سمع', 'ركز']",0.5
1241,ثري,2,1,1,0.5,2,1,1,1,"['تحت', 'ثري']",0.5
1242,قبس,7,6,6,0.8571428571428571,7,1,1,2,['قبس'],0.14285714285714285
1243,خلع,3,2,2,0.6666666666666666,3,1,1,2,['خلع'],0.3333333333333333
1244,نعل,3,2,2,0.6666666666666666,3,1,1,2,['نعل'],0.3333333333333333
1245,طوي,6,8,6,1.3333333333333333,5,1,1,2,['طوي'],0.26666666666666666
1246,هشش,3,2,2,0.6666666666666666,3,1,1,2,['هشش'],0.3333333333333333
1247,ارب,5,4,4,0.8,5,1,1,2,['ارب'],0.2
1248,ضمم,4,3,3,0.75,4,1,1,2,['ضمم'],0.25
1249,ازر,4,3,3,0.75,4,1,1,2,['ازر'],0.25
1250,قذف,13,15,13,1.1538461538461537,13,1,1,2,['قذف'],0.09615384615384616
1251,سحل,3,2,2,0.6666666666666666,3,1,1,2,['سحل'],0.3333333333333333
1252,وني,3,2,2,0.6666666666666666,3,1,1,2,['وني'],0.3333333333333333
1253,شتت,9,8,8,0.8888888888888888,9,1,1,2,['شتت'],0.1111111111111111
1254,سمر,6,5,5,0.8333333333333334,6,1,1,2,['سمر'],0.16666666666666666
1255,لحي,3,2,2,0.6666666666666666,3,1,1,2,['لحي'],0.3333333333333333
1256,نسف,6,7,7,1.1666666666666667,4,1,1,2,['نسف'],0.23333333333333334
1257,زرق,2,1,1,0.5,2,1,1,1,"['جرم', 'زرق']",0.5
1258,قوع,5,4,4,0.8,5,1,1,2,['قوع'],0.2
1259,صفصف,2,1,1,0.5,2,1,1,1,"['قوع', 'صفصف']",0.5
1260,امت,2,1,1,0.5,2,1,1,1,"['عوج', 'امت']",0.5
1261,همس,2,1,1,0.5,2,1,1,1,"['سمع', 'همس']",0.5
1262,عنو,2,1,1,0.5,2,1,1,1,"['عنو', 'وجه']",0.5
1263,هضم,3,2,2,0.6666666666666666,3,1,1,2,['هضم'],0.3333333333333333
1264,عري,5,5,4,1.0,5,1,1,2,['عري'],0.25
1265,ضنك,3,2,2,0.6666666666666666,3,1,1,2,['ضنك'],0.3333333333333333
1266,زهر,3,2,2,0.6666666666666666,3,1,1,2,['زهر'],0.3333333333333333
1267,صحف,11,13,11,1.1818181818181819,10,1,1,2,['صحف'],0.11818181818181818
1268,قصم,2,1,1,0.5,2,1,1,1,"['قصم', 'قري']",0.5
1269,ركض,4,3,3,0.75,4,1,1,2,['ركض'],0.25
1270,خمد,3,2,2,0.6666666666666666,3,1,1,2,['خمد'],0.3333333333333333
1271,دمغ,3,2,2,0.6666666666666666,3,1,1,2,['دمغ'],0.3333333333333333
1272,رتق,3,2,2,0.6666666666666666,3,1,1,2,['رتق'],0.3333333333333333
1273,فتق,3,2,2,0.6666666666666666,3,1,1,2,['فتق'],0.3333333333333333
1274,فجج,5,5,5,1.0,4,1,1,2,['فجج'],0.25
1275,كلا,3,2,2,0.6666666666666666,3,1,1,2,['كلا'],0.3333333333333333
1276,نفح,3,2,2,0.6666666666666666,3,1,1,2,['نفح'],0.3333333333333333
1277,خردل,4,4,3,1.0,4,1,1,2,['خردل'],0.3333333333333333
1278,نطق,13,16,13,1.2307692307692308,12,1,1,2,['نطق'],0.10256410256410256
1279,نكس,5,5,4,1.0,5,1,1,2,['نكس'],0.25
1280,برد,9,9,8,1.0,9,1,1,2,['برد'],0.125
1281,نفش,4,3,3,0.75,4,1,1,2,['نفش'],0.25
1282,فهم,2,1,1,0.5,2,1,1,1,"['فهم', 'كلل']",0.5
1283,غوص,4,3,3,0.75,4,1,1,2,['غوص'],0.25
1284,نون,2,1,1,0.5,2,1,1,1,"['نون', 'ذهب']",0.5
1285,فرج,8,14,8,1.75,7,1,1,2,['فرج'],0.25
1286,حدب,3,2,2,0.6666666666666666,3,1,1,2,['حدب'],0.3333333333333333
1287,فزع,13,12,12,0.9230769230769231,13,1,1,2,['فزع'],0.07692307692307693
1288,ذهل,3,2,2,0.6666666666666666,3,1,1,2,['ذهل'],0.3333333333333333
1289,مضغ,4,6,4,1.5,3,1,1,2,['مضغ'],0.5
1290,طفل,6,8,6,1.3333333333333333,5,1,1,2,['طفل'],0.26666666666666666
1291,همد,3,2,2,0.6666666666666666,3,1,1,2,['همد'],0.3333333333333333
1292,بهج,4,4,3,1.0,4,1,1,2,['بهج'],0.3333333333333333
1293,عطف,3,2,2,0.6666666666666666,3,1,1,2,['عطف'],0.3333333333333333
1294,مجس,3,2,2,0.6666666666666666,3,1,1,2,['مجس'],0.3333333333333333
1295,صبب,5,6,5,1.2,4,1,1,2,['صبب'],0.3
1296,صهر,4,3,3,0.75,4,1,1,2,['صهر'],0.25
1297,قمع,2,1,1,0.5,2,1,1,1,"['قمع', 'حدد']",0.5
1298,لالا,10,12,9,1.2,10,1,1,2,['لالا'],0.13333333333333333
1299,ضمر,3,2,2,0.6666666666666666,3,1,1,2,['ضمر'],0.3333333333333333
1300,عمق,2,1,1,0.5,2,1,1,1,"['فجج', 'عمق']",0.5
1301,تفث,3,2,2,0.6666666666666666,3,1,1,2,['تفث'],0.3333333333333333
1302,عتق,2,2,1,1.0,2,1,1,1,"['بيت', 'عتق']",1.0
1303,وثن,6,6,5,1.0,6,1,1,2,['وثن'],0.2
1304,سحق,4,3,3,0.75,4,1,1,2,['سحق'],0.25
1305,وجب,3,2,2,0.6666666666666666,3,1,1,2,['وجب'],0.3333333333333333
1306,عرر,5,4,4,0.8,5,1,1,2,['عرر'],0.2
1307,هدم,3,2,2,0.6666666666666666,3,1,1,2,['هدم'],0.3333333333333333
1308,صمع,3,2,2,0.6666666666666666,3,1,1,2,['صمع'],0.3333333333333333
1309,بار,3,2,2,0.6666666666666666,3,1,1,2,['بار'],0.3333333333333333
1310,عطل,4,3,3,0.75,4,1,1,2,['عطل'],0.25
1311,عقم,6,5,5,0.8333333333333334,6,1,1,2,['عقم'],0.16666666666666666
1312,سطو,3,2,2,0.6666666666666666,3,1,1,2,['سطو'],0.3333333333333333
1313,ذبب,5,4,4,0.8,5,1,1,2,['ذبب'],0.2
1314,سلب,3,2,2,0.6666666666666666,3,1,1,2,['سلب'],0.3333333333333333
1315,سلل,7,6,6,0.8571428571428571,7,1,1,2,['سلل'],0.14285714285714285
1316,فكه,19,24,19,1.263157894736842,18,1,1,2,['فكه'],0.07017543859649122
1317,دهن,6,6,6,1.0,6,1,1,2,['دهن'],0.2
1318,غثو,4,4,3,1.0,4,1,1,2,['غثو'],0.3333333333333333
1319,وتر,6,5,5,0.8333333333333334,6,1,1,2,['وتر'],0.16666666666666666
1320,نكب,4,3,3,0.75,4,1,1,2,['نكب'],0.25
1321,لجج,9,8,8,0.8888888888888888,9,1,1,2,['لجج'],0.1111111111111111
1322,همز,6,5,5,0.8333333333333334,6,1,1,2,['همز'],0.16666666666666666
1323,نسب,7,6,6,0.8571428571428571,7,1,1,2,['نسب'],0.14285714285714285
1324,لفح,2,1,1,0.5,2,1,1,1,"['لفح', 'وجه']",0.5
1325,كلح,2,1,1,0.5,2,1,1,1,"['نور', 'كلح']",0.5
1326,عبث,4,3,3,0.75,4,1,1,2,['عبث'],0.25
1327,غضض,5,7,4,1.4,5,1,1,2,['غضض'],0.35
1328,جيب,5,6,4,1.2,5,1,1,2,['جيب'],0.3
1329,عور,7,7,7,1.0,7,1,1,2,['عور'],0.16666666666666666
1330,ايم,3,2,2,0.6666666666666666,3,1,1,2,['ايم'],0.3333333333333333
1331,زجج,3,3,3,1.0,3,1,1,2,['زجج'],0.5
1332,ودق,3,4,2,1.3333333333333333,3,1,1,2,['ودق'],0.6666666666666666
1333,ذعن,2,1,1,0.5,2,1,1,1,"['اتي', 'ذعن']",0.5
1334,حيف,3,2,2,0.6666666666666666,3,1,1,2,['حيف'],0.3333333333333333
1335,لوذ,3,2,2,0.6666666666666666,3,1,1,2,['لوذ'],0.3333333333333333
1336,هبو,5,4,4,0.8,5,1,1,2,['هبو'],0.2
1337,نثر,4,3,3,0.75,4,1,1,2,['نثر'],0.25
1338,فلن,3,2,2,0.6666666666666666,3,1,1,2,['فلن'],0.3333333333333333
1339,رتل,4,5,5,1.25,3,1,1,2,['رتل'],0.4166666666666667
1340,فسر,2,1,1,0.5,2,1,1,1,"['حسن', 'فسر']",0.5
1341,رسس,3,3,2,1.0,3,1,1,2,['رسس'],0.5
1342,مرج,6,6,5,1.0,6,1,1,2,['مرج'],0.2
1343,فرت,5,5,4,1.0,5,1,1,2,['فرت'],0.25
1344,ملح,4,4,3,1.0,4,1,1,2,['ملح'],0.3333333333333333
1345,اجج,5,6,5,1.2,4,1,1,2,['اجج'],0.3
1346,سرج,7,7,6,1.0,7,1,1,2,['سرج'],0.16666666666666666
1347,عبا,3,2,2,0.6666666666666666,3,1,1,2,['عبا'],0.3333333333333333
1348,خضع,4,3,3,0.75,4,1,1,2,['خضع'],0.25
1349,ضير,3,2,2,0.6666666666666666,3,1,1,2,['ضير'],0.3333333333333333
1350,شرذم,2,1,1,0.5,2,1,1,1,"['شرذم', 'قلل']",0.5
1351,طود,3,2,2,0.6666666666666666,3,1,1,2,['طود'],0.3333333333333333
1352,كبكب,2,1,1,0.5,2,1,1,1,"['كبكب', 'غوي']",0.5
1353,شحن,2,3,1,1.5,2,1,1,1,"['فلك', 'شحن']",1.5
1354,ريع,3,2,2,0.6666666666666666,3,1,1,2,['ريع'],0.3333333333333333
1355,فره,2,1,1,0.5,2,1,1,1,"['بيت', 'فره']",0.5
1356,قلي,3,2,2,0.6666666666666666,3,1,1,2,['قلي'],0.3333333333333333
1357,هيم,3,2,2,0.6666666666666666,3,1,1,2,['هيم'],0.3333333333333333
1358,وزع,6,7,5,1.1666666666666667,6,1,1,2,['وزع'],0.23333333333333334
1359,حطم,10,10,9,1.0,10,1,1,2,['حطم'],0.1111111111111111
1360,بسم,2,1,1,0.5,2,1,1,1,"['بسم', 'ضحك']",0.5
1361,هدهد,3,2,2,0.6666666666666666,3,1,1,2,['هدهد'],0.3333333333333333
1362,خبا,3,2,2,0.6666666666666666,3,1,1,2,['خبا'],0.3333333333333333
1363,عفر,3,2,2,0.6666666666666666,3,1,1,2,['عفر'],0.3333333333333333
1364,صرح,9,8,8,0.8888888888888888,9,1,1,2,['صرح'],0.1111111111111111
1365,حدق,5,4,4,0.8,5,1,1,2,['حدق'],0.2
1366,حجز,4,3,3,0.75,4,1,1,2,['حجز'],0.25
1367,فوج,8,7,7,0.875,8,1,1,2,['فوج'],0.125
1368,جمد,3,2,2,0.6666666666666666,3,1,1,2,['جمد'],0.3333333333333333
1369,تقن,3,2,2,0.6666666666666666,3,1,1,2,['تقن'],0.3333333333333333
1370,كبب,4,4,3,1.0,4,1,1,2,['كبب'],0.3333333333333333
1371,وكز,3,2,2,0.6666666666666666,3,1,1,2,['وكز'],0.3333333333333333
1372,ذود,3,2,2,0.6666666666666666,3,1,1,2,['ذود'],0.3333333333333333
1373,جذو,3,2,2,0.6666666666666666,3,1,1,2,['جذو'],0.3333333333333333
1374,شطا,5,4,4,0.8,5,1,1,2,['شطا'],0.2
1375,بقع,3,2,2,0.6666666666666666,3,1,1,2,['بقع'],0.3333333333333333
1376,فصح,3,2,2,0.6666666666666666,3,1,1,2,['فصح'],0.3333333333333333
1377,ردا,3,2,2,0.6666666666666666,3,1,1,2,['ردا'],0.3333333333333333
1378,قبح,2,1,1,0.5,2,1,1,1,"['قوم', 'قبح']",0.5
1379,سرمد,4,4,3,1.0,4,1,1,2,['سرمد'],0.3333333333333333
1380,نوا,3,2,2,0.6666666666666666,3,1,1,2,['نوا'],0.3333333333333333
1381,عنكب,5,4,4,0.8,5,1,1,2,['عنكب'],0.2
1382,خطط,3,2,2,0.6666666666666666,3,1,1,2,['خطط'],0.3333333333333333
1383,روض,4,4,3,1.0,4,1,1,2,['روض'],0.3333333333333333
1384,مسو,2,2,2,1.0,1,1,1,1,"['حين', 'مسو']",1.0
1385,صعر,2,1,1,0.5,2,1,1,1,"['صعر', 'خدد']",0.5
1386,خدد,4,3,3,0.75,4,1,1,2,['خدد'],0.25
1387,سبغ,5,4,4,0.8,5,1,1,2,['سبغ'],0.2
1388,ختر,3,2,2,0.6666666666666666,3,1,1,2,['ختر'],0.3333333333333333
1389,مهن,5,5,4,1.0,5,1,1,2,['مهن'],0.25
1390,جفو,2,1,1,0.5,2,1,1,1,"['جفو', 'جنب']",0.5
1391,جوف,3,2,2,0.6666666666666666,3,1,1,2,['جوف'],0.3333333333333333
1392,حنجر,4,4,3,1.0,4,1,1,2,['حنجر'],0.3333333333333333
1393,عوق,3,2,2,0.6666666666666666,3,1,1,2,['عوق'],0.3333333333333333
1394,سلق,3,2,2,0.6666666666666666,3,1,1,2,['سلق'],0.3333333333333333
1395,نحب,3,2,2,0.6666666666666666,3,1,1,2,['نحب'],0.3333333333333333
1396,صيص,3,2,2,0.6666666666666666,3,1,1,2,['صيص'],0.3333333333333333
1397,وطر,4,4,3,1.0,4,1,1,2,['وطر'],0.3333333333333333
1398,مزق,6,8,6,1.3333333333333333,5,1,1,2,['مزق'],0.26666666666666666
1399,سرد,3,2,2,0.6666666666666666,3,1,1,2,['سرد'],0.3333333333333333
1400,جفن,3,2,2,0.6666666666666666,3,1,1,2,['جفن'],0.3333333333333333
1401,عرم,3,2,2,0.6666666666666666,3,1,1,2,['عرم'],0.3333333333333333
1402,خمط,3,2,2,0.6666666666666666,3,1,1,2,['خمط'],0.3333333333333333
1403,اثل,3,2,2,0.6666666666666666,3,1,1,2,['اثل'],0.3333333333333333
1404,سدر,7,7,7,1.0,6,1,1,2,['سدر'],0.16666666666666666
1405,نوش,3,2,2,0.6666666666666666,3,1,1,2,['نوش'],0.3333333333333333
1406,قطمر,2,1,1,0.5,2,1,1,1,"['ملك', 'قطمر']",0.5
1407,لغب,2,2,1,1.0,2,1,1,1,"['مسس', 'لغب']",1.0
1408,قمح,2,1,1,0.5,2,1,1,1,"['ذقن', 'قمح']",0.5
1409,عرجن,3,2,2,0.6666666666666666,3,1,1,2,['عرجن'],0.3333333333333333
1410,جدث,6,6,5,1.0,6,1,1,2,['جدث'],0.2
1411,شغل,5,4,4,0.8,5,1,1,2,['شغل'],0.2
1412,مسخ,3,2,2,0.6666666666666666,3,1,1,2,['مسخ'],0.3333333333333333
1413,رمم,3,2,2,0.6666666666666666,3,1,1,2,['رمم'],0.3333333333333333
1414,زجر,4,5,4,1.25,4,1,1,2,['زجر'],0.4166666666666667
1415,ثقب,3,2,2,0.6666666666666666,3,1,1,2,['ثقب'],0.3333333333333333
1416,لزب,2,1,1,0.5,2,1,1,1,"['طين', 'لزب']",0.5
1417,كاس,10,11,9,1.1,10,1,1,2,['كاس'],0.12222222222222222
1418,لذذ,6,6,5,1.0,6,1,1,2,['لذذ'],0.2
1419,غول,2,1,1,0.5,2,1,1,1,"['غول', 'نزف']",0.5
1420,نزف,3,2,2,0.6666666666666666,3,1,1,2,['نزف'],0.3333333333333333
1421,زقم,2,3,1,1.5,2,1,1,1,"['شجر', 'زقم']",1.5
1422,شوب,2,1,1,0.5,2,1,1,1,"['شوب', 'حمم']",0.5
1423,سقم,3,2,2,0.6666666666666666,3,1,1,2,['سقم'],0.3333333333333333
1424,روغ,4,3,3,0.75,4,1,1,2,['روغ'],0.25
1425,زفف,2,1,1,0.5,2,1,1,1,"['قبل', 'زفف']",0.5
1426,تلل,3,2,2,0.6666666666666666,3,1,1,2,['تلل'],0.3333333333333333
1427,جبن,2,1,1,0.5,2,1,1,1,"['تلل', 'جبن']",0.5
1428,ابق,2,1,1,0.5,2,1,1,1,"['ابق', 'فلك']",0.5
1429,سهم,2,1,1,0.5,2,1,1,1,"['سهم', 'كون']",0.5
1430,لقم,2,1,1,0.5,2,1,1,1,"['لقم', 'حوت']",0.5
1431,سوح,3,2,2,0.6666666666666666,3,1,1,2,['سوح'],0.3333333333333333
1432,لوت,3,2,2,0.6666666666666666,3,1,1,2,['لوت'],0.3333333333333333
1433,نوص,2,1,1,0.5,2,1,1,1,"['حين', 'نوص']",0.5
1434,وتد,3,2,2,0.6666666666666666,3,1,1,2,['وتد'],0.3333333333333333
1435,قطط,3,2,2,0.6666666666666666,3,1,1,2,['قطط'],0.3333333333333333
1436,نعج,5,6,5,1.2,5,1,1,2,['نعج'],0.3
1437,صفن,3,2,2,0.6666666666666666,3,1,1,2,['صفن'],0.3333333333333333
1438,جود,2,1,1,0.5,2,1,1,1,"['صفن', 'جود']",0.5
1439,رخو,3,2,2,0.6666666666666666,3,1,1,2,['رخو'],0.3333333333333333
1440,حنث,5,4,4,0.8,5,1,1,2,['حنث'],0.2
1441,قحم,4,3,3,0.75,4,1,1,2,['قحم'],0.25
1442,كور,5,5,5,1.0,4,1,1,2,['كور'],0.25
1443,هيج,4,4,3,1.0,4,1,1,2,['هيج'],0.3333333333333333
1444,قشعر,3,2,2,0.6666666666666666,3,1,1,2,['قشعر'],0.3333333333333333
1445,شكس,3,2,2,0.6666666666666666,3,1,1,2,['شكس'],0.3333333333333333
1446,شمز,3,2,2,0.6666666666666666,3,1,1,2,['شمز'],0.3333333333333333
1447,زمر,4,4,3,1.0,4,1,1,2,['زمر'],0.3333333333333333
1448,ازف,3,3,3,1.0,3,1,1,2,['ازف'],0.5
1449,فوض,3,2,2,0.6666666666666666,3,1,1,2,['فوض'],0.3333333333333333
1450,سلسل,6,5,5,0.8333333333333334,6,1,1,2,['سلسل'],0.16666666666666666
1451,سجر,3,3,2,1.0,3,1,1,2,['سجر'],0.5
1452,دخن,4,4,3,1.0,4,1,1,2,['دخن'],0.3333333333333333
1453,صرصر,4,6,3,1.5,4,1,1,2,['صرصر'],0.5
1454,نحس,6,6,5,1.0,6,1,1,2,['نحس'],0.2
1455,قيض,4,3,3,0.75,4,1,1,2,['قيض'],0.25
1456,كمم,4,3,3,0.75,4,1,1,2,['كمم'],0.25
1457,افق,6,5,5,0.8333333333333334,6,1,1,2,['افق'],0.16666666666666666
1458,ركد,3,2,2,0.6666666666666666,3,1,1,2,['ركد'],0.3333333333333333
1459,كوب,7,6,6,0.8571428571428571,7,1,1,2,['كوب'],0.14285714285714285
1460,برم,2,2,2,1.0,1,1,1,1,"['برم', 'امر']",1.0
1461,رهو,3,2,2,0.6666666666666666,3,1,1,2,['رهو'],0.3333333333333333
1462,غلي,4,3,3,0.75,4,1,1,2,['غلي'],0.25
1463,عتل,4,3,3,0.75,4,1,1,2,['عتل'],0.25
1464,دهر,5,4,4,0.8,5,1,1,2,['دهر'],0.2
1465,حقف,3,2,2,0.6666666666666666,3,1,1,2,['حقف'],0.3333333333333333
1466,عيي,3,3,2,1.0,3,1,1,2,['عيي'],0.5
1467,تعس,3,2,2,0.6666666666666666,3,1,1,2,['تعس'],0.3333333333333333
1468,اسن,3,2,2,0.6666666666666666,3,1,1,2,['اسن'],0.3333333333333333
1469,عسل,3,2,2,0.6666666666666666,3,1,1,2,['عسل'],0.3333333333333333
1470,معي,2,1,1,0.5,2,1,1,1,"['قطع', 'معي']",0.5
1471,شرط,3,2,2,0.6666666666666666,3,1,1,2,['شرط'],0.3333333333333333
1472,قفل,2,1,1,0.5,2,1,1,1,"['قلب', 'قفل']",0.5
1473,ضغن,3,2,2,0.6666666666666666,3,1,1,2,['ضغن'],0.3333333333333333
1474,لحن,3,2,2,0.6666666666666666,3,1,1,2,['لحن'],0.3333333333333333
1475,محن,3,4,3,1.3333333333333333,2,1,1,2,['محن'],0.6666666666666666
1476,نبز,3,2,2,0.6666666666666666,3,1,1,2,['نبز'],0.3333333333333333
1477,لقب,3,2,2,0.6666666666666666,3,1,1,2,['لقب'],0.3333333333333333
1478,جسس,3,2,2,0.6666666666666666,3,1,1,2,['جسس'],0.3333333333333333
1479,شعب,4,3,3,0.75,4,1,1,2,['شعب'],0.25
1480,ليت,3,2,2,0.6666666666666666,3,1,1,2,['ليت'],0.3333333333333333
1481,بسق,3,2,2,0.6666666666666666,3,1,1,2,['بسق'],0.3333333333333333
1482,لفظ,2,1,1,0.5,2,1,1,1,"['لفظ', 'قول']",0.5
1483,حيد,2,1,1,0.5,2,1,1,1,"['كون', 'حيد']",0.5
1484,حبك,2,1,1,0.5,2,1,1,1,"['سمو', 'حبك']",0.5
1485,سهو,3,2,2,0.6666666666666666,3,1,1,2,['سهو'],0.3333333333333333
1486,هجع,2,1,1,0.5,2,1,1,1,"['ليل', 'هجع']",0.5
1487,صكك,3,2,2,0.6666666666666666,3,1,1,2,['صكك'],0.3333333333333333
1488,رقق,2,1,1,0.5,2,1,1,1,"['رقق', 'نشر']",0.5
1489,مور,4,4,4,1.0,3,1,1,2,['مور'],0.3333333333333333
1490,دعع,4,4,4,1.0,3,1,1,2,['دعع'],0.3333333333333333
1491,الت,3,2,2,0.6666666666666666,3,1,1,2,['الت'],0.3333333333333333
1492,كهن,5,4,4,0.8,5,1,1,2,['كهن'],0.2
1493,قوب,3,2,2,0.6666666666666666,3,1,1,2,['قوب'],0.3333333333333333
1494,قوس,3,2,2,0.6666666666666666,3,1,1,2,['قوس'],0.3333333333333333
1495,ضيز,2,1,1,0.5,2,1,1,1,"['قسم', 'ضيز']",0.5
1496,كدي,2,1,1,0.5,2,1,1,1,"['قلل', 'كدي']",0.5
1497,قني,2,1,1,0.5,2,1,1,1,"['غني', 'قني']",0.5
1498,همر,2,1,1,0.5,2,1,1,1,"['موه', 'همر']",0.5
1499,دسر,2,1,1,0.5,2,1,1,1,"['لوح', 'دسر']",0.5
1500,قعر,2,1,1,0.5,2,1,1,1,"['نخل', 'قعر']",0.5
1501,اشر,2,2,1,1.0,2,1,1,1,"['كذب', 'اشر']",1.0
1502,دهي,3,2,2,0.6666666666666666,3,1,1,2,['دهي'],0.3333333333333333
1503,انم,2,1,1,0.5,2,1,1,1,"['وضع', 'انم']",0.5
1504,فني,2,1,1,0.5,2,1,1,1,"['كلل', 'فني']",0.5
1505,جلل,3,4,2,1.3333333333333333,3,1,1,2,['جلل'],0.6666666666666666
1506,نفذ,5,5,5,1.0,5,1,1,2,['نفذ'],0.25
1507,شوظ,3,2,2,0.6666666666666666,3,1,1,2,['شوظ'],0.3333333333333333
1508,طمث,3,3,2,1.0,3,1,1,2,['طمث'],0.5
1509,نضخ,2,1,1,0.5,2,1,1,1,"['عين', 'نضخ']",0.5
1510,خيم,2,1,1,0.5,2,1,1,1,"['قصر', 'خيم']",0.5
1511,رفرف,3,2,2,0.6666666666666666,3,1,1,2,['رفرف'],0.3333333333333333
1512,عبقر,3,2,2,0.6666666666666666,3,1,1,2,['عبقر'],0.3333333333333333
1513,رجج,2,2,2,1.0,1,1,1,1,"['رجج', 'ارض']",1.0
1514,بسس,2,2,2,1.0,1,1,1,1,"['بسس', 'جبل']",1.0
1515,شام,2,4,2,2.0,1,1,1,1,"['صحب', 'شام']",2.0
1516,ثلل,3,3,2,1.0,3,1,1,2,['ثلل'],0.5
1517,وضن,2,1,1,0.5,2,1,1,1,"['سرر', 'وضن']",0.5
1518,خضد,2,1,1,0.5,2,1,1,1,"['سدر', 'خضد']",0.5
1519,طلح,2,1,1,0.5,2,1,1,1,"['طلح', 'نضد']",0.5
1520,سكب,2,1,1,0.5,2,1,1,1,"['موه', 'سكب']",0.5
1521,مزن,2,2,2,1.0,1,1,1,1,"['نزل', 'مزن']",1.0
1522,فسح,4,5,5,1.25,3,1,1,2,['فسح'],0.4166666666666667
1523,جلس,2,2,2,1.0,1,1,1,1,"['فسح', 'جلس']",1.0
1524,وجف,4,3,3,0.75,4,1,1,2,['وجف'],0.25
1525,رصص,2,1,1,0.5,2,1,1,1,"['بني', 'رصص']",0.5
1526,خشب,3,2,2,0.6666666666666666,3,1,1,2,['خشب'],0.3333333333333333
1527,سند,3,2,2,0.6666666666666666,3,1,1,2,['سند'],0.3333333333333333
1528,غبن,3,2,2,0.6666666666666666,3,1,1,2,['غبن'],0.3333333333333333
1529,ثيب,3,2,2,0.6666666666666666,3,1,1,2,['ثيب'],0.3333333333333333
1530,طبق,4,5,4,1.25,4,1,1,2,['طبق'],0.4166666666666667
1531,نمم,2,1,1,0.5,2,1,1,1,"['مشي', 'نمم']",0.5
1532,زنم,2,1,1,0.5,2,1,1,1,"['بعد', 'زنم']",0.5
1533,خرطم,2,1,1,0.5,2,1,1,1,"['وسم', 'خرطم']",0.5
1534,صرم,4,4,4,1.0,3,1,1,2,['صرم'],0.3333333333333333
1535,حرد,3,2,2,0.6666666666666666,3,1,1,2,['حرد'],0.3333333333333333
1536,حسم,3,2,2,0.6666666666666666,3,1,1,2,['حسم'],0.3333333333333333
1537,صرع,3,2,2,0.6666666666666666,3,1,1,2,['صرع'],0.3333333333333333
1538,وهي,2,1,1,0.5,2,1,1,1,"['سمو', 'وهي']",0.5
1539,قطف,3,3,3,1.0,2,1,1,2,['قطف'],0.5
1540,حضض,2,3,1,1.5,2,1,1,1,"['حضض', 'طعم']",1.5
1541,وتن,2,1,1,0.5,2,1,1,1,"['قطع', 'وتن']",0.5
1542,عهن,3,3,2,1.0,3,1,1,2,['عهن'],0.5
1543,هلع,2,1,1,0.5,2,1,1,1,"['خلق', 'هلع']",0.5
1544,عزو,2,1,1,0.5,2,1,1,1,"['شمل', 'عزو']",0.5
1545,وفض,2,1,1,0.5,2,1,1,1,"['نصب', 'وفض']",0.5
1546,نسر,2,1,1,0.5,2,1,1,1,"['سوع', 'نسر']",0.5
1547,حرس,3,2,2,0.6666666666666666,3,1,1,2,['حرس'],0.3333333333333333
1548,هرب,2,1,1,0.5,2,1,1,1,"['عجز', 'هرب']",0.5
1549,حري,3,2,2,0.6666666666666666,3,1,1,2,['حري'],0.3333333333333333
1550,حطب,3,2,2,0.6666666666666666,3,1,1,2,['حطب'],0.3333333333333333
1551,غدق,2,1,1,0.5,2,1,1,1,"['موه', 'غدق']",0.5
1552,لبد,3,2,2,0.6666666666666666,3,1,1,2,['لبد'],0.3333333333333333
1553,زمل,2,1,1,0.5,2,1,1,1,"['عدد', 'زمل']",0.5
1554,بتل,2,2,2,1.0,2,1,1,1,"['ربب', 'بتل']",1.0
1555,غصص,3,2,2,0.6666666666666666,3,1,1,2,['غصص'],0.3333333333333333
1556,كثب,3,2,2,0.6666666666666666,3,1,1,2,['كثب'],0.3333333333333333
1557,هيل,2,1,1,0.5,2,1,1,1,"['كثب', 'هيل']",0.5
1558,دثر,2,1,1,0.5,2,1,1,1,"['رحم', 'دثر']",0.5
